DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists
"Fri, Nov 25",vs Chicago ,W123-119 OT ,8-11,Gilgeous-Alexander  30,Giddey  13,Giddey  9
"Sat, Nov 26",@ Houston ,L118-105  ,8-12,Gilgeous-Alexander  32,Giddey  5,Williams  4
"Mon, Nov 28",@ New Orleans ,L105-101  ,8-13,Gilgeous-Alexander  31,Robinson-Earl  13,Dort  5
"Wed, Nov 30",vs San Antonio ,W119-111  ,9-13,Williams  27,Giddey  14,Giddey  5
"Sat, Dec 3",@ Minnesota ,W135-128  ,10-13,Gilgeous-Alexander  33,Giddey  12,Giddey  7
"Mon, Dec 5",@ Atlanta ,W121-114  ,11-13,Gilgeous-Alexander  35,Dort  10,Gilgeous-Alexander  5
"Wed, Dec 7",@ Memphis ,L123-102  ,11-14,Gilgeous-Alexander  26,Giddey  10,Gilgeous-Alexander  7
"Sat, Dec 10",@ Cleveland ,L110-102  ,11-15,Gilgeous-Alexander  23,Pokusevski  14,Giddey  6
"Mon, Dec 12",@ Dallas ,L121-114  ,11-16,Gilgeous-Alexander  42,Pokusevski  9,Williams  4
"Wed, Dec 14",vs Miami ,L110-108  ,11-17,Gilgeous-Alexander  27,Giddey  11,Gilgeous-Alexander  7
"Fri, Dec 16",vs Minnesota ,L112-110  ,11-18,Gilgeous-Alexander  35,Giddey  13,Giddey  6
"Sat, Dec 17",vs Memphis ,W115-109  ,12-18,Dort  24,Wiggins  8,Williams  6
"Mon, Dec 19",vs Portland ,W123-121  ,13-18,Gilgeous-Alexander  35,Williams  7,Gilgeous-Alexander  6
"Wed, Dec 21",vs Portland ,W101-98  ,14-18,Gilgeous-Alexander  27,Williams  7,Giddey  6
"Fri, Dec 23",vs New Orleans ,L128-125 OT ,14-19,Gilgeous-Alexander  44,Gilgeous-Alexander  10,Gilgeous-Alexander  6
"Tue, Dec 27",vs San Antonio ,W130-114  ,15-19,Gilgeous-Alexander  28,Williams  9,Gilgeous-Alexander  8
"Thu, Dec 29",@ Charlotte ,L121-113  ,15-20,Gilgeous-Alexander  28,Giddey  10,Gilgeous-Alexander  5
"Sat, Dec 31",vs Philadelphia ,L115-96  ,15-21,Giddey  20,Giddey  9,Gilgeous-Alexander  5
"Tue, Jan 3",vs Boston ,W150-117  ,16-21,Giddey  25,Williams  7,Williams  6
"Wed, Jan 4",@ Orlando ,L126-115  ,16-22,Gilgeous-Alexander  33,Williams  9,Gilgeous-Alexander  4
"Fri, Jan 6",vs Washington ,W127-110  ,17-22,Gilgeous-Alexander  30,Williams  8,Giddey  9
"Sun, Jan 8",vs Dallas ,W120-109  ,18-22,Gilgeous-Alexander  33,Williams  10,Gilgeous-Alexander  5
"Tue, Jan 10",@ Miami ,L112-111  ,18-23,Gilgeous-Alexander  26,Giddey  15,Giddey  10
"Thu, Jan 12",@ Philadelphia ,W133-114  ,19-23,Gilgeous-Alexander  37,Gilgeous-Alexander  8,Giddey  8
"Fri, Jan 13",@ Chicago ,W124-110  ,20-23,Giddey  25,Giddey  10,Giddey  6
"Sun, Jan 15",@ Brooklyn ,W112-102  ,21-23,Giddey  28,Giddey  9,Giddey  9
"Wed, Jan 18",vs Indiana ,W126-106  ,22-23,Joe  23,Dort  11,Giddey  11
"Fri, Jan 20",@ Sacramento ,L118-113  ,22-24,Gilgeous-Alexander  37,Giddey  10,Gilgeous-Alexander  7
"Sun, Jan 22",@ Denver ,W101-99  ,23-24,Gilgeous-Alexander  34,Giddey  9,Gilgeous-Alexander  5
"Wed, Jan 25",vs Atlanta ,L137-132  ,23-25,Gilgeous-Alexander  36,Giddey  8,Gilgeous-Alexander  7
"Fri, Jan 27",vs Cleveland ,W112-100  ,24-25,Gilgeous-Alexander  35,Wiggins  7,Gilgeous-Alexander  8
"Mon, Jan 30",vs Golden State ,L128-120  ,24-26,Gilgeous-Alexander  31,Giddey  8,Gilgeous-Alexander  7
"Wed, Feb 1",@ Houston ,L112-106  ,24-27,Gilgeous-Alexander  24,Bazley  9,Giddey  8
"Sat, Feb 4",vs Houston ,W153-121  ,25-27,Gilgeous-Alexander  42,Giddey  8,Giddey  10
"Mon, Feb 6",@ Golden State ,L141-114  ,25-28,Gilgeous-Alexander  20,Giddey  7,Giddey  8
"Tue, Feb 7",@ Los Angeles ,W133-130  ,26-28,Gilgeous-Alexander  30,Williams  7,Gilgeous-Alexander  8
"Fri, Feb 10",@ Portland ,W138-129  ,27-28,Gilgeous-Alexander  44,Giddey  6,Gilgeous-Alexander  7
"Mon, Feb 13",vs New Orleans ,L103-100  ,27-29,Gilgeous-Alexander  24,Gilgeous-Alexander  10,Gilgeous-Alexander  5
"Wed, Feb 15",vs Houston ,W133-96  ,28-29,Gilgeous-Alexander  29,Williams  16,Gilgeous-Alexander  6
"Thu, Feb 23",@ Utah ,L120-119 OT ,28-30,Gilgeous-Alexander  39,Giddey  11,Gilgeous-Alexander  7
"Fri, Feb 24",@ Phoenix ,L124-115  ,28-31,Joe  28,Dort  10,Williams  5
"Sun, Feb 26",vs Sacramento ,L124-115  ,28-32,Joe  24,Giddey  7,Giddey  5
"Tue, Feb 28",vs Sacramento ,L123-117  ,28-33,Williams  27,Saric  8,Williams  8
"Wed, Mar 1",vs Los Angeles ,L123-117  ,28-34,Williams  24,Williams  12,Giddey  11
"Fri, Mar 3",vs Utah ,W130-103  ,29-34,Wiggins  27,Williams  9,Giddey  13
"Sun, Mar 5",vs Utah ,W129-119  ,30-34,Gilgeous-Alexander  38,Giddey  9,Giddey  9
"Tue, Mar 7",vs Golden State ,W137-128  ,31-34,Gilgeous-Alexander  33,Giddey  11,Giddey  17
"Wed, Mar 8",@ Phoenix ,L132-101  ,31-35,Waters III  23,Dieng  7,Giddey  5
"Sat, Mar 11",@ New Orleans ,W110-96  ,32-35,Gilgeous-Alexander  35,Giddey  7,Dort  5
"Sun, Mar 12",@ San Antonio ,W102-90  ,33-35,Williams  21,Giddey  11,Williams  10
"Tue, Mar 14",vs Brooklyn ,W121-107  ,34-35,Gilgeous-Alexander  35,Giddey  13,Giddey  10
"Thu, Mar 16",@ Toronto ,L128-111  ,34-36,Gilgeous-Alexander  29,Dort  8,Dort  5
"Sun, Mar 19",vs Phoenix ,W124-120  ,35-36,Gilgeous-Alexander  40,Williams  10,Giddey  6
"Tue, Mar 21",@ LA ,W101-100  ,36-36,Gilgeous-Alexander  31,Williams  8,Giddey  6
"Thu, Mar 23",@ LA ,L127-105  ,36-37,Gilgeous-Alexander  30,Williams  9,Giddey  4
"Fri, Mar 24",@ Los Angeles ,L116-111  ,36-38,Giddey  27,Giddey  17,Gilgeous-Alexander  8
"Sun, Mar 26",@ Portland ,W118-112  ,37-38,Gilgeous-Alexander  31,Giddey  11,Giddey  6
"Tue, Mar 28",vs Charlotte ,L137-134  ,37-39,Joe  33,Giddey  10,Giddey  9
"Wed, Mar 29",vs Detroit ,W107-106  ,38-39,Williams  27,Williams  8,Giddey  7
"Fri, Mar 31",@ Indiana ,L121-117  ,38-40,Gilgeous-Alexander  39,Dort  10,Williams  6
"Sun, Apr 2",vs Phoenix ,L128-118  ,38-41,Gilgeous-Alexander  39,Giddey  9,Giddey  8
"Tue, Apr 4",@ Golden State ,L136-125  ,38-42,Gilgeous-Alexander  32,Giddey  6,Gilgeous-Alexander  7
"Thu, Apr 6",@ Utah ,W114-98  ,39-42,Gilgeous-Alexander  22,Saric  10,Giddey  8
"Sun, Apr 9",vs Memphis ,W115-100  ,40-42,Butler  25,Sarr  15,Mann  12
